stream,latitude,longitude,order,riparia,waterSource,stability,group,gradient,catchment_area
EFFT,63.563889,-149.794444,2,close border,Snowmelt and rain runoff,Moderate,1,3.8,67.2
Highway,63.470278,-150.163056,2,absent,Snowmelt and rain runoff,Low,5,6.5,7.6
Hogan,63.728056,-149.410833,2,close border,Groundwater,High,2,2,8.9
Igloo,63.585556,-149.619444,2,not proximal,Snowpack,High,4,2.8,13.5
Little Stoney,63.453889,-150.238056,3,close border,Groundwater,High,2,9.5,1.4
Moose,63.534167,-150.979167,3,close border,Variable,High,3,2.1,13.1
N4,63.578333,-149.624444,1,absent,Snowmelt and rain runoff,Low,5,17.4,3.4
Sanctuary,63.723729,-149.474047,3,not proximal,Snowpack and minor glacier melt,Moderate,4,4.4,97.5
Savage,63.739444,-149.294167,4,not proximal,Snowpack and minor glacier melt,Moderate,4,2.6,89.4
Tattler,63.567778,-149.640833,1,close border,Snowmelt and rain runoff,High,1,9.6,4.7
