year,plumiperla,suwallia,ostrocerca,zapada,podmosta,capnia,isoperla,paraleutra,doddsia,Cinygmula,ameletus,baetis,epeorus,leptophlebiidae,rhithrogena,ecclisomyia,apatania,dicranota,clinocerinae,ceratopogonidae,culicidae,Chironomidae,Simuliidae,Hydrachnellae,Oligochaetae
1994,9,0,0,34,1,0,7,0,0,100,0,493,151,0,0,0,0,0,0,0,0,160,111,0,0
1995,6,0,0,2,5,0,0,0,0,10,0,28,111,0,0,0,0,0,0,0,0,77,146,0,0
1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,33,0,0,3,4,0,5,0,0,10,30,54,18,0,0,1,0,0,0,0,0,27,61,0,0
1999,8,0,0,16,2,0,4,0,0,1,0,1,2,0,0,0,0,0,0,0,0,63,60,0,0
2000,3,0,0,15,0,0,0,0,0,8,6,15,14,0,0,0,0,0,0,0,0,74,17,0,0
2001,0,0,0,0,4,0,1,0,0,1,0,4,10,0,0,0,0,0,0,0,0,146,7,0,0
2002,0,0,0,0,0,0,17,10,0,0,0,29,0,0,13,0,0,0,0,0,0,291,34,0,1
2003,0,0,23,6,0,12,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,76,105,0,4
2004,0,0,0,0,0,0,5,0,0,2,0,1,36,0,0,0,0,0,0,0,0,1,1,0,0
2005,0,0,0,0,0,0,9,3,0,0,0,54,57,0,10,0,0,0,9,0,0,653,10,0,0
2006,0,0,0,0,0,0,48,76,0,0,0,6,89,0,4,0,0,0,2,0,2,248,3,0,0
2007,0,8,0,0,0,0,9,0,0,0,0,0,12,0,0,0,0,0,0,0,0,65,27,0,0
2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,1,0,82,2,0,12,2,0,0,48,0,22,39,0,0,0,0,0,3,0,0,277,65,0,18
2010,2,0,55,4,0,11,3,0,0,2,0,23,35,1,0,1,0,2,14,0,0,389,98,1,49
2011,3,0,40,1,0,14,7,0,0,9,1,40,72,0,0,1,2,2,0,0,0,63,14,0,12
2012,28,0,10,5,0,8,3,0,0,8,2,0,28,0,0,0,4,1,1,1,0,126,5,0,8
2013,21,0,8,8,0,8,5,0,0,1,1,2,22,1,0,1,1,1,1,0,0,942,38,0,4
2014,10,0,2,0,0,9,0,0,0,2,3,0,3,0,0,0,0,0,0,0,0,369,3,0,2
2015,2,0,0,1,0,3,1,0,8,0,5,0,8,0,0,0,0,0,0,0,0,181,4,0,4
2016,9,0,1,2,0,8,1,0,1,0,4,2,5,0,0,0,0,0,0,0,0,65,0,0,3
