year,plumiperla,utaperla,ostrocerca,zapada,podmosta,capnia,isoperla,doddsia,perlomyia,despaxia,shipsa,Cinygmula,ameletus,baetis,epeorus,rhithrogena,limnephilidae,ecclisomyia,apatania,glossosoma,dicranota,ceratopogonidae,oreogeton,Chironomidae,Simuliidae,Oligochaetae
1994,30,2,0,15,15,0,34,0,0,0,0,125,6,1802,144,0,0,0,0,0,0,0,0,708,677,49
1995,24,0,0,5,19,0,7,0,0,0,0,17,5,5,58,0,0,0,0,0,0,0,0,50,122,0
1996,0,0,0,1,1,0,0,0,0,0,6,6,1,3,12,0,0,0,0,0,0,2,0,574,328,0
1998,14,0,0,18,14,0,0,0,0,0,0,11,11,57,204,4,0,0,0,0,0,0,0,79,197,0
1999,68,0,0,38,38,0,0,0,0,5,0,5,7,16,34,9,0,0,0,0,0,0,0,579,1050,0
2000,51,0,0,26,3,0,0,0,0,0,0,2,4,23,34,0,0,0,0,1,0,0,0,89,134,0
2001,0,0,0,0,42,0,6,0,0,52,0,1,0,10,72,0,0,0,0,0,0,0,0,56,45,1
2002,11,0,0,2,211,0,0,0,19,0,0,11,0,37,41,0,0,0,0,0,0,0,0,123,361,0
2003,9,0,0,0,26,0,0,0,0,0,0,20,3,4,79,0,0,0,0,0,0,0,0,104,3,10
2004,16,0,0,2,20,0,0,0,0,0,0,4,4,10,317,0,0,0,0,0,0,0,0,11,112,7
2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,1,0,4,1,0,0,2,0,0,0,0,4,0,0,120,0,0,0,0,0,0,0,0,4,0,0
2007,0,0,58,2,0,30,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,95,12,0
2008,0,0,114,4,1,59,0,0,0,0,0,43,1,329,159,0,0,0,0,0,0,1,0,384,448,0
2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,0,0,92,1,0,29,10,0,0,0,0,20,3,67,246,0,0,1,1,0,2,0,0,86,247,1
2011,0,0,25,1,0,69,11,0,0,0,0,9,8,6,118,0,0,0,0,0,2,0,0,87,3,0
2012,5,0,89,1,0,45,1,0,0,0,0,0,2,2,43,0,0,0,0,0,0,0,0,78,5,0
2013,0,0,102,0,0,40,0,0,0,0,0,1,6,3,139,0,0,0,0,0,3,0,0,111,2,0
2014,1,0,15,15,0,36,1,0,0,0,0,9,13,15,71,0,0,1,1,0,2,0,1,270,12,0
2015,2,0,4,0,0,27,0,9,0,0,0,5,1,1,39,0,0,0,1,0,0,0,0,161,4,0
2016,12,0,14,2,0,12,0,35,0,0,0,3,7,7,49,0,1,0,0,0,0,0,0,86,6,0
