year,plumiperla,ostrocerca,zapada,podmosta,capnia,isoperla,doddsia,perlomyia,paraleutra,despaxia,Cinygmula,ameletus,baetis,epeorus,rhithrogena,ecclisomyia,apatania,philopotomidae,dicranota,limnophila,clinocerinae,dixidae,Chironomidae,Simuliidae,dytiscidae,Hydrachnellae,Oligochaetae,Planaria
1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995,8,0,0,3,0,0,0,0,0,0,18,35,7,0,2,0,0,0,0,0,0,4,557,27,0,0,39,0
1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,20,0,4,0,0,0,0,0,2,0,0,0,47,1,0,1,0,0,0,0,0,0,420,23,0,0,63,0
1999,5,0,79,47,0,2,0,62,0,0,0,0,49,0,0,0,0,0,0,0,0,0,879,5,0,0,37,0
2000,41,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,54,15,0,0,0,0
2001,1,0,2,8,0,0,0,0,0,64,1,0,5,4,0,0,0,0,0,0,0,0,1104,77,0,0,9,0
2002,0,0,0,17,0,0,0,13,0,0,0,0,6,0,0,0,0,0,0,0,0,0,550,26,0,0,0,0
2003,2,8,1,0,12,3,1,0,0,0,0,1,1,0,0,0,0,0,58,0,0,0,1668,8,0,0,220,0
2004,0,15,0,0,211,6,0,0,0,0,0,2,58,3,0,0,0,0,33,0,0,0,3245,110,0,0,303,1
2005,0,2,0,0,9,1,1,0,0,0,0,1,3,0,0,0,0,0,29,0,1,0,844,1,0,0,99,0
2006,2,4,0,0,2,6,0,0,0,0,0,4,24,4,0,0,0,0,45,0,0,0,1615,4,0,0,94,0
2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,98,3,0,0,19,0
2008,0,0,0,0,2,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,545,131,0,0,58,3
2009,0,4,0,0,162,3,0,0,0,0,1,1,253,0,0,0,0,0,2,0,0,0,5080,317,0,1,295,9
2010,2,13,1,0,16,1,0,0,0,0,1,5,115,1,0,0,0,0,19,0,0,0,1244,102,0,1,214,6
2011,3,4,0,0,8,4,0,0,0,0,1,3,147,3,0,3,0,0,38,0,0,0,1164,80,0,0,91,0
2012,3,19,0,0,71,5,0,0,0,0,1,0,105,2,0,1,0,0,25,1,0,0,1080,65,0,0,108,0
2013,0,6,0,0,76,1,0,0,0,0,0,0,42,5,0,0,0,0,55,0,0,0,800,28,0,2,212,1
2014,4,33,5,0,87,9,0,0,0,0,2,1,35,0,0,0,0,0,24,0,0,0,2543,6,1,1,106,5
2015,6,14,1,0,5,1,3,0,0,0,1,2,3,2,0,4,1,0,54,0,0,0,572,3,0,0,54,1
2016,58,4,0,0,12,4,0,0,0,0,0,6,23,2,0,2,0,0,26,0,0,0,780,10,0,0,112,41
