year,plumiperla,ostrocerca,zapada,podmosta,capnia,isoperla,doddsia,despaxia,shipsa,ameletus,baetis,epeorus,leptophlebiidae,rhithrogena,ecclisomyia,dicranota,clinocerinae,ceratopogonidae,dixidae,Chironomidae,Simuliidae,Oligochaetae
1994,2,0,31,4,0,129,0,0,0,0,16,1,0,0,0,0,0,0,0,262,156,0
1995,8,0,0,46,0,0,0,5,0,0,8,1,0,0,0,0,0,1,0,16,25,5
1996,20,0,2,14,0,0,0,10,4,0,25,0,0,0,0,0,0,0,0,49,18,0
1998,17,0,0,1,0,0,0,2,0,0,9,0,0,0,0,0,0,0,0,55,0,2
1999,20,0,3,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,175,6,1
2000,20,0,9,2,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,62,19,0
2001,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,146,26,0
2002,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,1,49,0,0
2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
2004,0,0,0,0,0,162,0,0,0,0,147,0,0,0,0,0,0,0,0,24,25,0
2005,0,0,0,0,0,153,0,0,0,0,277,2,0,0,0,0,0,0,0,89,39,0
2006,0,0,0,0,0,39,0,0,0,0,0,10,0,1,0,0,0,0,0,64,3,0
2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,21,0
2008,0,128,0,0,73,0,0,0,0,0,136,0,0,0,0,0,0,13,0,280,221,8
2009,0,57,0,0,81,2,0,0,0,0,9,4,0,0,0,0,0,8,0,123,128,7
2010,0,204,0,0,96,11,0,0,0,0,16,2,0,0,0,0,0,2,0,38,51,3
2011,1,102,0,0,72,12,0,0,0,0,90,3,0,0,0,0,0,1,0,87,13,0
2012,1,107,0,0,204,8,0,0,0,0,15,11,0,0,0,2,0,3,0,114,34,3
2013,0,228,15,0,72,13,0,0,0,4,15,3,1,0,1,2,3,1,0,98,4,2
2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,0,149,0,0,41,1,0,0,0,0,2,6,0,0,0,0,0,9,0,62,0,4
2016,0,94,0,0,139,0,3,0,0,1,3,1,1,0,0,1,0,5,0,321,10,7
