year,plumiperla,suwallia,ostrocerca,zapada,podmosta,allocapnia,capnia,isoperla,doddsia,drunella,serratella,Cinygmula,ameletus,baetis,epeorus,rhithrogena,ecclisomyia,apatania,dicranota,rhabdomastix,ceratopogonidae,Chironomidae,Simuliidae,Hydrachnellae,Oligochaetae
1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995,8,0,0,1,29,0,0,10,0,0,0,0,0,3,0,0,0,0,0,0,0,18,7,0,3
1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,9,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,74,3,0,0
1999,25,0,0,2,5,0,0,0,0,0,0,0,0,0,1,5,2,0,0,0,0,0,0,0,0
2000,7,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,1,54,2,0,0
2001,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,3,0,2
2002,2,0,1,0,0,0,0,2,0,1,0,0,0,21,0,0,0,0,0,0,0,72,91,0,0
2003,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2004,9,0,0,0,0,0,2,3,0,3,0,0,0,1,0,0,0,0,0,0,0,13,2,0,0
2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0
2006,9,0,0,0,0,0,5,4,0,1,0,1,0,0,0,0,0,0,0,0,0,4,1,0,0
2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,42,12,0,0
2008,2,2,0,1,2,0,0,2,0,3,0,1,1,12,0,0,0,0,0,0,0,57,14,0,0
2009,7,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,2,0,20,6,0,0
2010,1,0,0,4,0,1,1,17,0,11,3,0,1,5,0,0,0,0,0,10,0,151,5,1,0
2011,7,0,2,1,0,0,8,7,0,4,0,0,0,15,1,0,0,1,0,8,0,118,22,0,0
2012,7,0,0,0,0,0,14,2,0,1,0,0,0,0,1,0,0,0,0,0,0,37,3,0,0
2013,0,0,0,0,0,0,22,2,0,1,0,0,0,4,1,0,0,0,0,1,0,75,6,0,0
2014,0,0,0,0,0,0,11,3,0,0,0,0,0,1,0,0,0,0,0,4,0,98,3,0,0
2015,0,0,1,1,0,0,21,6,1,1,0,0,0,1,0,0,0,0,0,1,0,48,2,0,0
2016,4,0,2,0,0,0,3,6,2,3,0,0,0,1,0,0,0,1,1,1,0,191,17,0,1
