Date,PDO
1854-01-01,0.05
1854-02-01,-0.09
1854-03-01,0.138
1854-04-01,0.131
1854-05-01,-0.064
1854-06-01,0.005
1854-07-01,-0.201
1854-08-01,-0.849
1854-09-01,-0.727
1854-10-01,-1.597
1854-11-01,-1.302
1854-12-01,-1.582
1855-01-01,0.009
1855-02-01,0.11
1855-03-01,0.234
1855-04-01,-0.312
1855-05-01,-0.999
1855-06-01,-1.227
1855-07-01,-0.571
1855-08-01,0.049
1855-09-01,-0.247
1855-10-01,-0.243
1855-11-01,-0.045
1855-12-01,-0.498
1856-01-01,-0.124
1856-02-01,0.374
1856-03-01,0.291
1856-04-01,-0.646
1856-05-01,-0.81
1856-06-01,-1.513
1856-07-01,-0.347
1856-08-01,0.75
1856-09-01,0.921
1856-10-01,0.733
1856-11-01,0.307
1856-12-01,-0.071
1857-01-01,-0.664
1857-02-01,-1.4
1857-03-01,-1.149
1857-04-01,-0.455
1857-05-01,0.052
1857-06-01,1.031
1857-07-01,1.144
1857-08-01,0.871
1857-09-01,0.651
1857-10-01,0.414
1857-11-01,0.34
1857-12-01,-0.448
1858-01-01,-0.769
1858-02-01,-0.955
1858-03-01,-1.309
1858-04-01,-0.718
1858-05-01,0.619
1858-06-01,2.357
1858-07-01,1.422
1858-08-01,1.4
1858-09-01,1.514
1858-10-01,2.296
1858-11-01,0.644
1858-12-01,-0.726
1859-01-01,-0.809
1859-02-01,-1.221
1859-03-01,-1.777
1859-04-01,-2.707
1859-05-01,-2.284
1859-06-01,-1.941
1859-07-01,-1.013
1859-08-01,-0.945
1859-09-01,-0.918
1859-10-01,-1.102
1859-11-01,-1.042
1859-12-01,-0.776
1860-01-01,-0.855
1860-02-01,-0.795
1860-03-01,-0.95
1860-04-01,-0.64
1860-05-01,-0.577
1860-06-01,-0.836
1860-07-01,0.507
1860-08-01,0.463
1860-09-01,0.964
1860-10-01,-0.806
1860-11-01,-0.801
1860-12-01,-1.056
1861-01-01,-0.579
1861-02-01,-0.727
1861-03-01,-0.649
1861-04-01,-0.63
1861-05-01,-0.165
1861-06-01,-0.153
1861-07-01,-0.253
1861-08-01,-0.302
1861-09-01,-0.757
1861-10-01,-1.108
1861-11-01,-1.318
1861-12-01,-1.293
1862-01-01,-0.44
1862-02-01,-0.122
1862-03-01,0.186
1862-04-01,0.114
1862-05-01,0.092
1862-06-01,-0.034
1862-07-01,0.029
1862-08-01,0.127
1862-09-01,-0.398
1862-10-01,-0.377
1862-11-01,-0.204
1862-12-01,-0.17
1863-01-01,-0.176
1863-02-01,-0.168
1863-03-01,-0.112
1863-04-01,-0.027
1863-05-01,0.2
1863-06-01,0.144
1863-07-01,0.444
1863-08-01,0.204
1863-09-01,0.433
1863-10-01,0.261
1863-11-01,0.189
1863-12-01,0.043
1864-01-01,-0.01
1864-02-01,0.161
1864-03-01,-0.572
1864-04-01,-0.473
1864-05-01,-0.199
1864-06-01,-0.101
1864-07-01,0.416
1864-08-01,0.131
1864-09-01,0.217
1864-10-01,0.553
1864-11-01,0.824
1864-12-01,0.66
1865-01-01,0
1865-02-01,-0.141
1865-03-01,-0.01
1865-04-01,0.152
1865-05-01,0.174
1865-06-01,-0.281
1865-07-01,-0.302
1865-08-01,-0.109
1865-09-01,-0.155
1865-10-01,-0.166
1865-11-01,-0.348
1865-12-01,-0.576
1866-01-01,-1.735
1866-02-01,-1.599
1866-03-01,-1.55
1866-04-01,-0.76
1866-05-01,-0.294
1866-06-01,-0.411
1866-07-01,-0.064
